cutscene_id,frame,item_sprite,item_use_fade,item_fade_delay,item_fade_in,item_fade_out
00_IntroCutScene,0,,,,,
00_IntroCutScene,1,,,,,
00_IntroCutScene,2,,,,,
00_IntroCutScene,3,,,,,
00_IntroCutScene,4,,,,,
01_ItemCutScene,0,,,,,
01_ItemCutScene,1,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_1],FALSE,0,0,0
01_ItemCutScene,2,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_1],FALSE,0,0,0
01_ItemCutScene,3,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_0],FALSE,0,0,0
01_ItemCutScene,4,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_0],FALSE,0,0,0
01_ItemCutScene,5,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_2],FALSE,0,0,0
01_ItemCutScene,6,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_4],FALSE,0,0,0
01_ItemCutScene,7,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_4],FALSE,0,0,0
01_ItemCutScene,8,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_3],FALSE,0,0,0
01_ItemCutScene,9,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_3],FALSE,0,0,0
01_ItemCutScene,10,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_3],FALSE,0,0,0
01_Stage1_CutScene,0,,,,,
01_Stage1_CutScene,1,,,,,
01_Stage1_CutScene,2,,,,,
01_Stage1_CutScene,3,,,,,
01_Stage1_CutScene,4,,,,,
02_ItemCutScene,0,,,,,
02_ItemCutScene,1,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_8],FALSE,0,0,0
02_ItemCutScene,2,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_8],FALSE,0,0,0
02_ItemCutScene,3,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_6],FALSE,0,0,0
02_ItemCutScene,4,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_6],FALSE,0,0,0
02_ItemCutScene,5,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_7],FALSE,0,0,0
02_ItemCutScene,6,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_7],FALSE,0,0,0
02_ItemCutScene,7,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_5],FALSE,0,0,0
02_ItemCutScene,8,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_5],FALSE,0,0,0
02_ItemCutScene,9,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_9],FALSE,0,0,0
02_ItemCutScene,10,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_9],FALSE,0,0,0
02_Stage2_CutScene,0,,,,,
02_Stage2_CutScene,1,,,,,
02_Stage2_CutScene,2,,,,,
02_Stage2_CutScene,3,,,,,
02_Stage2_CutScene,4,,,,,
02_Stage2_CutScene,5,,,,,
02_Stage2_CutScene,6,,,,,
02_Stage2_CutScene,7,,,,,
03_ItemCutScene,0,,,,,
