cutscene_id,frame,slot,dialogue,pos_x,pos_y,align,use_fade,fade_delay,fade_in,fade_out
00_IntroCutScene,0,0,내가 한 달 안에 죽을 거라고... ,0,100,Left,TRUE,0,0.5,0
00_IntroCutScene,1,0,"그렇구나.\n내 삶은 고통의 연속이었어...\n어릴 적부터, 행복한 순간은 단 하나도 없었거든.",0,-350,Left,TRUE,0,0.5,0
00_IntroCutScene,2,0,이렇게 죽게 되어서 얼마나 다행인지 몰라.,0,100,Left,TRUE,0,0.5,0
00_IntroCutScene,3,0,아니에요!! \n분명히 좋은 추억이 있었답니다!!,0,200,Right,TRUE,0,0.5,0
00_IntroCutScene,4,0,"잊고 있던 추억을 제가, 찾아드릴게요!!",0,-300,Left,TRUE,0,0.5,0
01_ItemCutScene,1,0,마지막 남은 용돈으로 딱 사먹을 수 있어서 정말 다행이었어.,0,-350,Center,TRUE,0,0.5,0
01_ItemCutScene,2,0,어떤 날은 용돈을 다 써서 못 먹었었는데 말이야.,0,-350,Center,TRUE,0,0.5,0
01_ItemCutScene,3,0,선생님이 발표를 많이 한 사람에게 상으로 줬던 껌.,0,-350,Center,TRUE,0,0.5,0
01_ItemCutScene,4,0,내 힘으로 얻어낸 작은 달콤함이었어.,0,-350,Center,TRUE,0,0.5,0
01_ItemCutScene,5,0,내가 좋아하는 노래들만 꾹꾹 모아담아\n나만의 세계로 들어갈 수 있었어.,0,-350,Center,TRUE,0,0.5,0
01_ItemCutScene,6,0,빙빙빙 돌리면 저 멀리까지 날아갔었지.,0,-350,Center,TRUE,0,0.5,0
01_ItemCutScene,7,0,내 마음을 가득 담고 자유롭게 멀리 날아가더라.,0,-350,Center,TRUE,0,0.5,0
01_ItemCutScene,8,0,"핸드폰을 산지 얼마 안 됐었을 때, 엄마를 잃어버렸어.",0,-350,Center,TRUE,0,0.5,0
01_ItemCutScene,9,0,"다행히 내가 핸드폰을 가지고 있다는 걸 생각해내고,\n엄마한테 전화를 했지.",0,-350,Center,TRUE,0,0.5,0
01_ItemCutScene,10,0,내 힘으로 엄마를 찾아낸 거야!,0,-350,Center,TRUE,0,0.5,0
01_Stage1_CutScene,0,0,"그런데,\n이게, 내가 행복했던 추억이라고?",0,100,Left,TRUE,0,0.5,0
01_Stage1_CutScene,0,1,하지만 더 불행한 일이 많았어.,0,100,Right,TRUE,0.8,0.5,0
01_Stage1_CutScene,1,0,학교의 모든 애들이 날 싫어했단 말이야.\n애들이 끊임없이 날 욕하고 괴롭히고…\n아직도 그게 꿈에 나와.,0,300,Left,TRUE,0,0.5,0
01_Stage1_CutScene,2,0,겨우 이딴 것들이\n내 인생이 불행하지 않았다는 증거가 될 수 없어.,0,100,Right,TRUE,0,0.5,0
01_Stage1_CutScene,3,0,"다른, 다른 게 있을 거예요!",0,-350,Left,TRUE,0,0.5,0
01_Stage1_CutScene,4,0,꼭 납득하실만한 추억을 찾아드릴게요!,0,-200,Left,TRUE,0,0.5,0
02_ItemCutScene,1,0,"많은 걸 찍었었는데,\n친구들을 찍어줄 때가 그렇게 좋았던 거 같아.",0,-350,Center,TRUE,0,0.5,0
02_ItemCutScene,2,0,애들이 웃는 얼굴이 보기 좋았어.,0,-350,Center,TRUE,0,0.5,0
02_ItemCutScene,3,0,낙서할 때 꼭 필요했던 볼펜이었어.,0,-350,Center,TRUE,0,0.5,0
02_ItemCutScene,4,0,교과서 한켠에 작은 캐릭터 하나를 그리면서 달칵 달칵 소리를 냈었지.,0,-350,Center,TRUE,0,0.5,0
02_ItemCutScene,5,0,내가 가장 좋아하던 세상이 이 작은 게임기 안에 있었어.,0,-350,Center,TRUE,0,0.5,0
02_ItemCutScene,6,0,모든 걸 잊고 빠져들 수 있는 세상.,0,-350,Center,TRUE,0,0.5,0
02_ItemCutScene,7,0,빵보다는 띠부씰이 더 중요했던 거 같아.\n앨범에 띠부씰을 엄청나게 모으기도 했었어.,0,-350,Center,TRUE,0,0.5,0
02_ItemCutScene,8,0,그래도 빵도 맛있게 먹었었지.,0,-350,Center,TRUE,0,0.5,0
02_ItemCutScene,9,0,"칠판 당번일 때, 글씨를 하나하나 꼼꼼히 지워내려가는 맛이 있었어.",0,-350,Center,TRUE,0,0.5,0
02_ItemCutScene,10,0,이제 다시는 그 칠판을 못 보겠지.,0,-350,Center,TRUE,0,0.5,0
02_Stage2_CutScene,0,0,맞아. 어쩔 때는 괜찮았었을지 몰라.,-100,0,Left,TRUE,0,0.5,0
02_Stage2_CutScene,1,0,하지만 넌 모른 척 하고 있어. \n그때의 우리 부모님을.,-100,350,Left,TRUE,0,0.5,0
02_Stage2_CutScene,2,0,"성적이 안 나오면, \n뛰어내려야 할 것만 같았던 나를 알잖아.\n근데 겨우 칠판 지우개, 카메라 뭐 그런 걸 찾아오면 어떡해.",-100,-350,Left,TRUE,0,0.5,0
02_Stage2_CutScene,3,0,"너, 내가 행복했었다며.",0,200,Left,TRUE,0,1,0
02_Stage2_CutScene,3,1,그 증거를 찾아주겠다면서.,0,0,Center,TRUE,1,1,0
02_Stage2_CutScene,3,2,왜 근데 약속을 안 지켜?,0,-200,Right,TRUE,2,1,0
02_Stage2_CutScene,4,0,"이렇게 이상한 것들만 가져올 거면, \n너 더 이상 나한테 찾아오지마.",0,100,Right,TRUE,0,0.5,0
02_Stage2_CutScene,5,0,"…미안해요.\n제가, 잘못 생각했어요.\n제가 찾아온 추억들이 \n더 화나게 만들었네요.",-100,-100,Left,TRUE,0,0.5,0
02_Stage2_CutScene,6,0,"그래도요,\n행복한 기억은 존재했어요.\n불행한 기억과 함께요.\n둘 다, 진짜예요.",-100,-350,Left,TRUE,0,0.5,0
02_Stage2_CutScene,7,0,"…이번엔 행복한 추억이 아니라\n당신의 이야기를 찾아올게요.\n아직, 남아 있을 거예요.",0,-300,Left,TRUE,0,0.5,0
03_ItemCutScene,1,0,처음에 정말 자랑스럽게 입었어.\n내가 그 간판의 무게보다 못난 사람이라고 느껴지기 전까지는.,0,-300,Center,TRUE,0,0.5,0
03_ItemCutScene,2,0,열심히 공부하려고 노력했어.\n시험 직전 벼락치기로 빽빽한 노트는 정말 뿌듯했던 거 같아. \n시험 결과와 관련없이.,0,-300,Center,TRUE,0,0.5,0
03_ItemCutScene,3,0,내가 가장 좋아하던 세상이 이 작은 게임기 안에 있었어.\n모든 걸 잊고 빠져들 수 있는 세상.,0,-300,Center,TRUE,0,0.5,0
03_ItemCutScene,4,0,대학 시절 내내 나와 함께했던 튼튼한 운동화야.\n함께 지하철 환승통로를 달렸어. ,0,-300,Center,TRUE,0,0.5,0
03_ItemCutScene,5,0,"동아리방에서 혼자 연주하고, 또 연주했어.\n그러다가 어느날 무대 위에서 다같이 공연했을 때를 잊지 못 해.",0,-300,Center,TRUE,0,0.5,0
03_Stage3_CutScene,0,0,"대학교 들어가서도, 많이 힘들었죠.",0,0,0,TRUE,0,0.5,0
03_Stage3_CutScene,1,0,"맞아.\n나 정말 열심히 노력했는데,\n아무것도 이루지 못했어.",0,0,0,TRUE,0,0.5,0
03_Stage3_CutScene,2,0,"공모전, 대외활동, 프로젝트…\n준비한 것마다 모두 무산되고\n나는 가치 없는 사람이 되었어.",0,0,0,TRUE,0,0.5,0
03_Stage3_CutScene,3,0,내가 잘 챙겨먹었어야 하는데.,0,0,0,TRUE,0,0.5,0
